,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
688,GIMN SAN JOSE DE BAVARIA                                                                            ,KR 23 114 11,"KR 23 114 11,Bogota,Colombia","CARRERA 23 114 11,Bogota,Colombia","(4.697735799999999, -74.05418949999999)"
689,LIC  CULT LOPEZ OSORIO                                                                              ,CL 71 SUR 87 15,"CL 71 SUR 87 15,Bogota,Colombia","CALLE 71 SUR 87 15,Bogota,Colombia","(4.6189199, -74.1964821)"
690,COL MIGUEL ANGEL ASTURIAS                                                                           ,KR 78 D 59 A 18 SUR,"KR 78 D 59 A 18 SUR,Bogota,Colombia","CARRERA 78 D 59 A 18 SUR,Bogota,Colombia","(4.619853500000001, -74.1539277)"
691,COLEGIO UNION COLOMBIA (IED),KR 7 A 182 A 07,"KR 7 A 182 A 07,Bogota,Colombia","CARRERA 7 A 182 A 07,Bogota,Colombia","(4.700035, -74.03064739999999)"
692,JARD INF DATA SESAMO                                                                                ,KR 27 B 53 A 46,"KR 27 B 53 A 46,Bogota,Colombia","CARRERA 27 B 53 A 46,Bogota,Colombia","(4.6432068, -74.076574)"
693,GIMN EL LAGO                                                                                        ,CLL. 74A NO.73A-85,"CLL. 74A NO.73A-85,Bogota,Colombia","CLL. 74A NO.73A-85,Bogota,Colombia","(4.691305700000001, -74.09544799999999)"
694,COLEGIO LA AURORA (IED),TV 3 B 70 A 16 SUR,"TV 3 B 70 A 16 SUR,Bogota,Colombia","TV 3 B 70 A 16 SUR,Bogota,Colombia","(4.5217914, -74.1210073)"
695,INSTITUTO TOMAS MORO,CL 70 C 112 A 05,"CL 70 C 112 A 05,Bogota,Colombia","CALLE 70 C 112 A 05,Bogota,Colombia","(4.7100963, -74.130771)"
696,GIMN FEMENINO                                                                                       ,KR 7 128 40,"KR 7 128 40,Bogota,Colombia","CARRERA 7 128 40,Bogota,Colombia","(4.7074256, -74.02840139999999)"
697,GIMN LOMAS DEL VALLE (ANTES OSO MELOSO),AC 116 71 83,"AC 116 71 83,Bogota,Colombia","AC 116 71 83,Bogota,Colombia","(4.6996498, -74.0778735)"
698,GIMN SANTANDER                                                                                      ,CL 128 B BIS 92 35,"CL 128 B BIS 92 35,Bogota,Colombia","CALLE 128 B BIS 92 35,Bogota,Colombia","(4.7227158, -74.09141079999999)"
699,GIMN ALESSANDRO VOLTA,CL 119 4 79,"CL 119 4 79,Bogota,Colombia","CALLE 119 4 79,Bogota,Colombia","(4.6947109, -74.0288451)"
700,COLEGIO CHUNIZA (IED),KR 1 G ESTE 84 A 42 SUR,"KR 1 G ESTE 84 A 42 SUR,Bogota,Colombia","CARRERA 1 G ESTE 84 A 42 SUR,Bogota,Colombia","(4.5058915, -74.1112182)"
701,GIMN SAN ANGELO                                                                                     ,CL 223 53 63,"CL 223 53 63,Bogota,Colombia","CALLE 223 53 63,Bogota,Colombia","(4.8014351, -74.0450731)"
702,FUNDACIÓN HUMANISTA ERASMO DE ROTTERDAM,KR 95 A 73 85,"KR 95 A 73 85,Bogota,Colombia","CARRERA 95 A 73 85,Bogota,Colombia","(4.631017, -74.2040458)"
703,JARD INF LA CASITA DE LA PRADERA                                                                    ,KR 102 A 152 A 44,"KR 102 A 152 A 44,Bogota,Colombia","CARRERA 102 A 152 A 44,Bogota,Colombia","(4.710988599999999, -74.072092)"
704,CENTRO EDUCATIVO NOMADE-PROYECTO ARTISTICO AMBIENTAL,CL 29 A 34 A 39,"CL 29 A 34 A 39,Bogota,Colombia","CALLE 29 A 34 A 39,Bogota,Colombia","(4.631985999999999, -74.0833909)"
705,COL JULIA LOPEZ MARTINEZ                                                                            ,CL 92 BIS SUR 5 F 07 ESTE,"CL 92 BIS SUR 5 F 07 ESTE,Bogota,Colombia","CALLE 92 BIS SUR 5 F 07 ESTE,Bogota,Colombia","(4.4990571, -74.106217)"
706,JARD INF IDEAS CREATIVAS DE KENNEDY                                                                 ,CL 35 A SUR 77 01 IN 18 Y 20,"CL 35 A SUR 77 01 IN 18 Y 20,Bogota,Colombia","CALLE 35 A SUR 77 01 IN 18 Y 20,Bogota,Colombia","(4.622768199999999, -74.1483446)"
707,COL JUAN RULFO                                                                                      ,KR 1 A ESTE 75 A 40 SUR,"KR 1 A ESTE 75 A 40 SUR,Bogota,Colombia","CARRERA 1 A ESTE 75 A 40 SUR,Bogota,Colombia","(4.4955187, -74.1171735)"
708,COLEGIO SANTA BARBARA (IED),KR 18 T 65 A 27 SUR,"KR 18 T 65 A 27 SUR,Bogota,Colombia","CARRERA 18 T 65 A 27 SUR,Bogota,Colombia","(4.6214154, -74.1248014)"
709,COL NUEVO ESTILO                                                                                    ,KR 120 64 50,"KR 120 64 50,Bogota,Colombia","CARRERA 120 64 50,Bogota,Colombia","(4.7135044, -74.1407984)"
710,GIMN FRANCISCANO DE SUBA                                                                            ,KR 111 138 15,"KR 111 138 15,Bogota,Colombia","CARRERA 111 138 15,Bogota,Colombia","(4.756665900000001, -74.09670369999999)"
711,LIC  PSICOPEDAG JOSE CORDOBA                                                                        ,KR 87 39 15 SUR,"KR 87 39 15 SUR,Bogota,Colombia","CARRERA 87 39 15 SUR,Bogota,Colombia","(4.6352467, -74.1656706)"
712,JARDIN PSICOPEDAG PASITOS PASOTES                                                                   ,CL 181 8 18,"CL 181 8 18,Bogota,Colombia","CALLE 181 8 18,Bogota,Colombia","(4.757361899999999, -74.0290253)"
713,GIMN LA MONTAÑA                                                                                     ,KR 51 214 55,"KR 51 214 55,Bogota,Colombia","CARRERA 51 214 55,Bogota,Colombia","(4.7916116, -74.0478777)"
714,LIC AMOR Y CIENCIA,KR 90 B 86 34,"KR 90 B 86 34,Bogota,Colombia","CARRERA 90 B 86 34,Bogota,Colombia","(4.6333756, -74.1858728)"
715,COL MAYOR PRIMEROS MAESTROS,CL 74 A 81 A 14,"CL 74 A 81 A 14,Bogota,Colombia","CALLE 74 A 81 A 14,Bogota,Colombia","(4.696238399999999, -74.10084859999999)"
716,COL SAN LUIS DE LA POLICIA NAL,AV BOYACA 142 A 55,"AV BOYACA 142 A 55,Bogota,Colombia","AVENIDA BOYACARRERA 142 A 55,Bogota,Colombia","(4.710988599999999, -74.072092)"
717,COL MIX ALEGRIA Y SABER                                                                             ,KR 101 B 69 3234 SUR,"KR 101 B 69 3234 SUR,Bogota,Colombia","CARRERA 101 B 69 3234 SUR,Bogota,Colombia","(4.7366347, -74.0959689)"
718,JARD INF LA ALEGRIA DE APRENDER                                                                     ,CR. 46 NO. 8-33,"CR. 46 NO. 8-33,Bogota,Colombia","CR. 46 NO. 8-33,Bogota,Colombia","(4.680859300000001, -74.0598363)"
719,LIC INF EL RINCON DE PETER PAN                                                                      ,CR. 94A BIS NO.122-59,"CR. 94A BIS NO.122-59,Bogota,Colombia","CR. 94A BIS NO.122-59,Bogota,Colombia","(4.6417374, -74.1776975)"
720,JARD INF SEMILLITAS DE AMOR                                                                         ,KR 7 B 144 62,"KR 7 B 144 62,Bogota,Colombia","CARRERA 7 B 144 62,Bogota,Colombia","(4.720441999999999, -74.0286237)"
721,PREESC PSICOPEDAG CONDEMARIN                                                                        ,CL 130 C BIS 98 06,"CL 130 C BIS 98 06,Bogota,Colombia","CALLE 130 C BIS 98 06,Bogota,Colombia","(4.7326282, -74.099238)"
722,JARD INF MI DULCE ENCUENTRO                                                                         ,KR 19 A 63 60,"KR 19 A 63 60,Bogota,Colombia","CARRERA 19 A 63 60,Bogota,Colombia","(4.6511419, -74.06923139999999)"
723,COL MONTERREY                                                                                       ,IND DG. 88D NO.83-25/23,"IND DG. 88D NO.83-25/23,Bogota,Colombia","IND DIAGONAL 88D NO.83-25/23,Bogota,Colombia","(4.6205961, -74.2064379)"
724,GIMN SANTA MARIA DE LA COLINA                                                                       ,CL 137 B 57 B 34,"CL 137 B 57 B 34,Bogota,Colombia","CALLE 137 B 57 B 34,Bogota,Colombia","(4.727577999999999, -74.06421759999999)"
725,PREESC JARD INF PRINCIPITOS,CL 2 42 67,"CL 2 42 67,Bogota,Colombia","CALLE 2 42 67,Bogota,Colombia","(4.8210196, -74.043777)"
726,LIC HNO MIGUEL LA SALLE                                                                             ,KR 52 64 A 99,"KR 52 64 A 99,Bogota,Colombia","CARRERA 52 64 A 99,Bogota,Colombia","(4.662151, -74.08104829999999)"
727,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),CL 68 A SUR 80 H 05,"CL 68 A SUR 80 H 05,Bogota,Colombia","CALLE 68 A SUR 80 H 05,Bogota,Colombia","(4.606318, -74.1908285)"
728,LIC INF MI MUNDO IDEAL                                                                              ,TV 52 A 2 59,"TV 52 A 2 59,Bogota,Colombia","TV 52 A 2 59,Bogota,Colombia","(4.612091599999999, -74.1171574)"
729,JARDIN INFANTIL CONSTRUYENDO CON GEPETTO,CL 55 A 34 24 SUR,"CL 55 A 34 24 SUR,Bogota,Colombia","CALLE 55 A 34 24 SUR,Bogota,Colombia","(4.5834809, -74.142242)"
730,CENT INF EDUCAR                                                                                     ,KR 51 45 14,"KR 51 45 14,Bogota,Colombia","CARRERA 51 45 14,Bogota,Colombia","(4.6459377, -74.08772499999999)"
731,INST CONTINENTAL                                                                                    ,KR 102 A 75 B 04,"KR 102 A 75 B 04,Bogota,Colombia","CARRERA 102 A 75 B 04,Bogota,Colombia","(4.7421344, -74.0944507)"
732,LIC SANDRA CATALINA                                                                                 ,CR. 101A NO.71B-10,"CR. 101A NO.71B-10,Bogota,Colombia","CR. 101A NO.71B-10,Bogota,Colombia","(4.7034783, -74.11850179999999)"
733,GIMN LAS AMERICAS                                                                                   ,TV 71 C 5 B 15,"TV 71 C 5 B 15,Bogota,Colombia","TV 71 C 5 B 15,Bogota,Colombia","(4.6286661, -74.135649)"
734,COL CRISTIANO SEMILLA DE VIDA                                                                       ,CL 1 F 31 11,"CL 1 F 31 11,Bogota,Colombia","CALLE 1 F 31 11,Bogota,Colombia","(4.6010215, -74.1044046)"
735,JARD INF LA CRAYOLA MAGICA                                                                          ,CLL. 23 NO.94-67,"CLL. 23 NO.94-67,Bogota,Colombia","CLL. 23 NO.94-67,Bogota,Colombia","(4.6096651, -74.071438)"
736,LIC INTEGRAL LA GRANJA                                                                              ,CL 77 83 58,"CL 77 83 58,Bogota,Colombia","CALLE 77 83 58,Bogota,Colombia","(4.700035400000001, -74.1006582)"
737,GIMNASIO PSICOPEDAGOGICO SIGLO XXI,KR 78 C BIS CL 58 SUR,"KR 78 C BIS CL 58 SUR,Bogota,Colombia","CARRERA 78 C BIS CALLE 58 SUR,Bogota,Colombia","(4.6091189, -74.1764708)"
738,COLEGIO JORGE GAITAN CORTES (IED),KR 89 A 86 14,"KR 89 A 86 14,Bogota,Colombia","CARRERA 89 A 86 14,Bogota,Colombia","(4.7087393, -74.09925919999999)"
739,LIC  ANTONIO BOLAÑOS                                                                                ,CL 56 F SUR 71 F 33,"CL 56 F SUR 71 F 33,Bogota,Colombia","CALLE 56 F SUR 71 F 33,Bogota,Colombia","(4.6002241, -74.1637353)"
740,COLEGIO PAULO VI (IED),CL 41 SUR 81 45,"CL 41 SUR 81 45,Bogota,Colombia","CALLE 41 SUR 81 45,Bogota,Colombia","(4.606147099999999, -74.14741579999999)"
741,LIC APRENDIENDO CON DODI                                                                            ,KR 77 64 D 15,"KR 77 64 D 15,Bogota,Colombia","CARRERA 77 64 D 15,Bogota,Colombia","(4.6814781, -74.1062268)"
742,COLEGIO CODEMA (IED),CL 2 93 28,"CL 2 93 28,Bogota,Colombia","CALLE 2 93 28,Bogota,Colombia","(4.648206399999999, -74.1655339)"
743,COL MIX VILLA CAROLINA                                                                              ,KR 87 C 69 A 80 SUR,"KR 87 C 69 A 80 SUR,Bogota,Colombia","CARRERA 87 C 69 A 80 SUR,Bogota,Colombia","(4.6931517, -74.10854379999999)"
744,GIMNASIO INFANTIL PAULO FREIRE,CL 66 74 17,"CL 66 74 17,Bogota,Colombia","CALLE 66 74 17,Bogota,Colombia","(4.6823691, -74.1022145)"
745,GIMN INF MI PRIMERA U                                                                               ,KR 70 C 65 17,"KR 70 C 65 17,Bogota,Colombia","CARRERA 70 C 65 17,Bogota,Colombia","(4.6775134, -74.0976252)"
746,COL CLAUDIA JESUS                                                                                   ,CL 84 90 15,"CL 84 90 15,Bogota,Colombia","CALLE 84 90 15,Bogota,Colombia","(4.7084747, -74.1019957)"
747,LIC INF RETOÑITOS                                                                                   ,KR 101 A 135 A 03,"KR 101 A 135 A 03,Bogota,Colombia","CARRERA 101 A 135 A 03,Bogota,Colombia","(4.7377136, -74.09530079999999)"
748,GIMN CULT SANTA RITA                                                                                ,KR 152 A 138 D 05,"KR 152 A 138 D 05,Bogota,Colombia","CARRERA 152 A 138 D 05,Bogota,Colombia","(4.746381599999999, -74.1243831)"
749,COL VALORES E INTELECTOS PARAISO DE MI NIÑEZ,CR. 112C BIS NO.121-51,"CR. 112C BIS NO.121-51,Bogota,Colombia","CR. 112C BIS NO.121-51,Bogota,Colombia","(4.7205622, -74.1177277)"
750,GUARD Y JARD INF GLOBITO ROJO                                                                       ,CL 126 B 40 97,"CL 126 B 40 97,Bogota,Colombia","CALLE 126 B 40 97,Bogota,Colombia","(4.7270746, -74.1031381)"
751,CENT EDUC PARA JOVENES Y ADULTOS LEPANTO                                                            ,KR 6 21 A 19 SUR,"KR 6 21 A 19 SUR,Bogota,Colombia","CARRERA 6 21 A 19 SUR,Bogota,Colombia","(4.5780294, -74.08744100000001)"
752,COL DANILO CIFUENTES                                                                                ,CL 29 SUR 10 34,"CL 29 SUR 10 34,Bogota,Colombia","CALLE 29 SUR 10 34,Bogota,Colombia","(4.596068, -74.11634120000001)"
753,PREESCOLAR ARTÍSTICO AMBIENTAL SEMILLAS ,KR 34 A 29 A 26,"KR 34 A 29 A 26,Bogota,Colombia","CARRERA 34 A 29 A 26,Bogota,Colombia","(4.6320846, -74.0826525)"
754,INSTITUTO TÉCNICO CENTRAL,CL 13 16 74,"CL 13 16 74,Bogota,Colombia","CALLE 13 16 74,Bogota,Colombia","(4.6058157, -74.0819496)"
755,COL MONTESORIANO,TV 14A 43-58 S,"TV 14A 43-58 S,Bogota,Colombia","TV 14A 43-58 S,Bogota,Colombia","(4.5434506, -74.0825265)"
